STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
Overall,Overall,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,1.0,0.0,N/A,N/A,274487000.0,1650000.0
Overall,0 - Did not misuse in the past year,0.964,0.0008,0.963,0.966,1.0,0.0,N/A,N/A,0.964,0.0008,0.963,0.966,264651000.0,1612000.0
Overall,1 - Misused within the past year,0.036,0.0008,0.034,0.037,1.0,0.0,N/A,N/A,0.036,0.0008,0.034,0.037,9836000.0,216000.0
AK,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1.0,0.0,N/A,N/A,585000.0,20000.0
AK,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.958,0.0051,0.947,0.967,560000.0,18000.0
AK,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.003,0.0003,0.002,0.003,0.042,0.0051,0.033,0.053,25000.0,3000.0
AL,Overall,0.015,0.0007,0.014,0.016,0.015,0.0007,0.014,0.016,1.0,0.0,N/A,N/A,4101000.0,183000.0
AL,0 - Did not misuse in the past year,0.014,0.0006,0.013,0.015,0.015,0.0006,0.013,0.016,0.947,0.008,0.928,0.96,3882000.0,170000.0
AL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.022,0.0036,0.016,0.031,0.053,0.008,0.04,0.072,219000.0,36000.0
AR,Overall,0.009,0.0003,0.008,0.01,0.009,0.0003,0.008,0.01,1.0,0.0,N/A,N/A,2499000.0,93000.0
AR,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.009,0.009,0.0004,0.008,0.01,0.965,0.0051,0.954,0.974,2412000.0,95000.0
AR,1 - Misused within the past year,0.0,0.0,0.0,0.0,0.009,0.0012,0.007,0.012,0.035,0.0051,0.026,0.046,87000.0,12000.0
AZ,Overall,0.022,0.0015,0.019,0.025,0.022,0.0015,0.019,0.025,1.0,0.0,N/A,N/A,6042000.0,425000.0
AZ,0 - Did not misuse in the past year,0.021,0.0015,0.018,0.024,0.022,0.0015,0.019,0.025,0.96,0.0044,0.95,0.968,5800000.0,412000.0
AZ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.025,0.003,0.019,0.031,0.04,0.0044,0.032,0.05,242000.0,30000.0
CA,Overall,0.121,0.0023,0.116,0.125,0.121,0.0023,0.116,0.125,1.0,0.0,N/A,N/A,33110000.0,679000.0
CA,0 - Did not misuse in the past year,0.116,0.0022,0.112,0.121,0.12,0.0023,0.116,0.125,0.963,0.003,0.956,0.968,31880000.0,654000.0
